STATE,COUNTY,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
12,033,308200,309630,311975,313882,315857,319379
12,035,101961,104533,107608,110316,112415,115481
12,037,11656,11702,11834,11730,11694,12113
12,039,46113,46057,46069,45984,45933,45670
12,041,17007,17394,17607,17899,18263,18572
12,043,12956,13115,13421,13591,13762,13914
12,045,16011,15944,16082,16115,16137,13498
12,047,14071,14275,14309,14397,14289,14470
12,049,27259,27167,27228,27172,27106,26806
12,051,38467,39242,40097,41074,41306,42069
12,053,175411,178036,182668,186899,190851,194290
12,055,98636,100204,102058,103828,104453,105890
12,057,1332742,1364645,1398093,1428960,1455351,1476431
12,059,19578,19292,19426,19458,19512,19661
12,061,144532,147547,151281,154260,157023,159739
12,063,48737,48617,48325,48288,48089,46257
12,065,14061,14121,13985,14226,14358,14280
12,067,8860,8722,8760,8603,8649,8384
12,069,315493,325338,335209,345848,357086,366941
12,071,677710,700243,723467,741188,755159,772268
12,073,283923,286098,286960,291125,291905,293866
12,075,39317,39630,39885,40339,40839,41620
12,077,8419,8412,8307,8234,8421,8341
12,079,18607,18485,18342,18512,18623,18599
12,081,351080,362821,375538,385458,394043,402977
12,083,338165,342388,347958,353953,359630,365997
12,085,153218,155674,158425,159716,160661,161212
12,086,2634056,2659549,2689890,2709126,2709711,2711612
12,087,76353,76758,76968,76556,74362,73897
12,089,76309,78022,80168,83024,85923,88583
12,091,195074,198310,200912,204275,207731,211411
12,093,39550,39833,40767,41248,41601,42141
12,095,1257031,1291844,1327775,1357720,1383657,1395371
12,097,311150,323860,338182,353306,367359,374170
12,099,1399064,1424772,1451469,1470583,1482833,1497800
12,101,483590,495130,510319,525533,539129,554032
12,103,936862,947664,960527,968886,973343,975367
12,105,634624,648823,666271,685790,707095,724967
12,107,71987,71961,72410,73418,73968,74309
12,109,218009,226582,235192,244067,254007,265068
12,111,290207,297471,305775,313207,320340,328063
12,113,162840,166451,170224,174413,179573,184587
12,115,396636,405099,413395,420073,426890,435006
12,117,441583,448535,456266,463052,468195,471791
12,119,112354,117229,122249,125298,129351,133772
12,121,43777,43670,43849,44125,44206,44420
12,123,22591,22362,22098,21784,21525,21537
12,125,15260,15268,15256,15455,15302,15213
12,127,507050,517144,529100,538755,547117,554065
12,129,31418,31529,31894,32055,32369,33636
12,131,61244,63145,65488,68110,70874,74127
12,133,24300,24556,24469,24577,24845,25647
13,000,10071204,10183353,10308442,10417031,10519389,10628020
13,001,18469,18420,18443,18447,18538,18389
13,003,8211,8331,8293,8257,8344,8269
13,005,11178,11225,11268,11204,11096,11098
13,007,3287,3192,3185,3158,3089,3047
13,009,45920,45566,45260,44993,45001,45006
13,011,18220,18375,18292,18607,18918,19175
13,013,72843,74979,77108,79086,81105,83581
13,015,101251,102063,103418,105190,106488,107757
13,017,17462,17368,17267,17059,16794,16711
13,019,18813,18989,18968,19071,19207,19377
13,021,154447,154068,153212,152920,153069,153191
13,023,12706,12710,12868,12769,12833,12923
13,025,18368,18443,18425,18848,19021,19124
13,027,15524,15672,15732,15641,15491,15518
13,029,33726,34860,35916,37091,38151,39692
13,031,72667,73137,74660,76046,77332,79718
13,033,22629,22644,22638,22553,22501,22497
13,035,23337,23516,23738,24064,24172,24917
13,037,6513,6536,6359,6393,6340,6184
13,039,52000,52549,52602,53211,53816,54784
13,043,10853,10864,10837,10698,10813,10835
13,045,113970,114501,116180,117437,118094,120115
13,047,65516,65841,66350,66570,67402,67585
13,049,13046,13238,12850,12779,12826,13277
13,051,282396,286239,289055,289771,289771,290185
13,053,11738,11075,10065,10197,10548,10991
13,055,24871,24918,24847,24757,24836,24846
13,057,230239,235424,241929,247944,254277,259475
13,059,120437,123621,124873,126674,127179,128238
13,061,3074,3080,3015,2971,2901,2901
13,063,266757,272874,279346,284175,289229,292404
13,065,6780,6828,6762,6658,6601,6637
13,067,727847,739428,748767,753361,757133,761060
13,069,42893,42998,42924,42871,43060,43278
13,071,45880,45486,45471,45501,45467,45569
13,073,139223,143991,147622,151757,154399,157129
13,075,17307,17076,17175,17217,17161,17241
13,077,135191,138217,140561,143218,146063,148504
13,079,12395,12351,12250,12236,12273,12345
13,081,23064,22961,22882,22675,22572,22382
13,083,16299,16176,16249,16270,16238,16103
13,085,23024,23371,23664,24410,25106,26091
13,087,27183,27063,26682,26727,26613,26496
13,089,725247,734846,747299,751680,755514,759932
13,091,21167,21133,20866,20777,20858,20672
13,093,14248,14033,13870,13694,13718,13400
13,095,92775,91556,90365,89537,89247,87854
13,097,138082,140264,141824,143563,145260,146680
13,099,10451,10459,10310,10313,10255,10176
13,101,4027,4024,3934,3888,3933,3963
13,103,55452,57125,58705,60121,62274,64342
13,105,19391,19303,19122,19104,19053,19205
13,107,22476,22465,22405,22528,22582,22600
13,109,10808,10690,10633,10747,10677,10661
13,111,23869,24455,25051,25348,25995,26068
13,113,109259,110215,111294,112626,113333,114645
13,115,95894,96209,96730,97459,97907,98325
13,117,202697,211368,220856,229367,237330,244624
13,119,22187,22281,22333,22876,23039,23322
13,121,992321,1005752,1023816,1039996,1051516,1065019
13,123,28999,29512,29897,30470,31011,31575
13,125,3008,3020,2976,3031,2968,2959
13,127,82212,83368,84211,84836,85099,85326
13,129,55848,56330,57015,57204,57737,58046
13,131,25236,25106,24895,24762,24730,24588
13,133,16418,16620,16892,17225,17730,18356
13,135,871052,888597,905291,918681,928072,937399
13,137,43553,43775,44166,44687,45580,45542
13,139,189156,192249,196176,198854,201396,204310
13,141,8571,8579,8644,8545,8344,8475
13,143,28513,28733,28860,29286,29626,29884
13,145,32730,33147,33615,33945,34552,35188
13,147,25367,25415,25459,25708,26078,26255
13,149,11622,11557,11578,11748,11801,11825
13,151,213059,216548,221040,225246,229873,234671
13,153,148429,149197,151287,152757,155004,157427
13,155,9077,9137,9307,9362,9395,9442
13,157,62125,63439,65091,67681,70347,73015
